2020-05-19 12:38:38.347 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.usian.test.FastDFSTest], using SpringBootContextLoader
2020-05-19 12:38:49.380 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-05-19 12:38:49.671 [main] INFO  com.usian.test.FastDFSTest - Started FastDFSTest in 10.799 seconds (JVM running for 13.313)
2020-05-19 12:38:50.366 [Thread-6] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2020-05-19 12:38:50.370 [Thread-6] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Unregistering application USAIN-ITEM-WEB with eureka with status DOWN
2020-05-19 12:38:50.372 [Thread-6] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-19 12:38:50.374 [Thread-6] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Could not unregister MBean [com.github.tobato.fastdfs.conn:name=fdfsConnectionPool,type=FdfsConnectionPool] as said MBean is not registered (perhaps already unregistered by an external process)
2020-05-19 12:40:02.575 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.usian.test.FastDFSTest], using SpringBootContextLoader
2020-05-19 12:40:02.583 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.usian.test.FastDFSTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-19 12:40:02.828 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-05-19 12:40:02.839 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@60015ef5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2f54a33d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1018bde2, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@65b3f4a4, org.springframework.test.context.support.DirtiesContextTestExecutionListener@f2ff811, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@568ff82, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@50caa560, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2a266d09, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5ab9e72c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@186f8716]
2020-05-19 12:40:05.124 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$a0ff9e97] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-19 12:40:06.773 [main] INFO  com.usian.test.FastDFSTest - No active profile set, falling back to default profiles: default
2020-05-19 12:40:07.548 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=707a46a8-3c1c-3d42-bcd1-ef42f6ef8094
2020-05-19 12:40:07.675 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$a0ff9e97] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-19 12:40:08.384 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-05-19 12:40:08.384 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-19 12:40:08.391 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-05-19 12:40:08.391 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-19 12:40:08.670 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-19 12:40:10.657 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-05-19 12:40:12.174 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-05-19 12:40:12.340 [main] INFO  com.usian.test.FastDFSTest - Started FastDFSTest in 9.448 seconds (JVM running for 10.377)
2020-05-19 12:40:12.559 [Thread-6] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2020-05-19 12:40:12.562 [Thread-6] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Unregistering application USAIN-ITEM-WEB with eureka with status DOWN
2020-05-19 12:40:12.565 [Thread-6] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-19 12:40:12.567 [Thread-6] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Could not unregister MBean [com.github.tobato.fastdfs.conn:name=fdfsConnectionPool,type=FdfsConnectionPool] as said MBean is not registered (perhaps already unregistered by an external process)
2020-05-19 12:41:04.881 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.usian.test.FastDFSTest], using SpringBootContextLoader
2020-05-19 12:41:04.887 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.usian.test.FastDFSTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-19 12:41:05.108 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-05-19 12:41:05.119 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@60015ef5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2f54a33d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1018bde2, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@65b3f4a4, org.springframework.test.context.support.DirtiesContextTestExecutionListener@f2ff811, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@568ff82, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@50caa560, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2a266d09, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5ab9e72c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@186f8716]
2020-05-19 12:41:07.724 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$a0ff9e97] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-19 12:41:09.548 [main] INFO  com.usian.test.FastDFSTest - No active profile set, falling back to default profiles: default
2020-05-19 12:41:10.234 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=707a46a8-3c1c-3d42-bcd1-ef42f6ef8094
2020-05-19 12:41:10.353 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$a0ff9e97] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-19 12:41:10.981 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-05-19 12:41:10.982 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-19 12:41:10.989 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-05-19 12:41:10.990 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-19 12:41:11.303 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-19 12:41:13.305 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-05-19 12:41:14.823 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-05-19 12:41:14.990 [main] INFO  com.usian.test.FastDFSTest - Started FastDFSTest in 9.812 seconds (JVM running for 10.714)
2020-05-19 12:41:15.108 [Thread-6] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2020-05-19 12:41:15.112 [Thread-6] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Unregistering application USAIN-ITEM-WEB with eureka with status DOWN
2020-05-19 12:41:15.115 [Thread-6] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-19 12:41:15.117 [Thread-6] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Could not unregister MBean [com.github.tobato.fastdfs.conn:name=fdfsConnectionPool,type=FdfsConnectionPool] as said MBean is not registered (perhaps already unregistered by an external process)
2020-05-19 12:42:55.016 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.usian.test.FastDFSTest], using SpringBootContextLoader
2020-05-19 12:42:55.022 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.usian.test.FastDFSTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-19 12:42:55.263 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-05-19 12:42:55.274 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@60015ef5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2f54a33d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1018bde2, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@65b3f4a4, org.springframework.test.context.support.DirtiesContextTestExecutionListener@f2ff811, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@568ff82, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@50caa560, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2a266d09, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5ab9e72c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@186f8716]
2020-05-19 12:42:57.591 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$a0ff9e97] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-19 12:42:59.254 [main] INFO  com.usian.test.FastDFSTest - No active profile set, falling back to default profiles: default
2020-05-19 12:43:00.114 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=707a46a8-3c1c-3d42-bcd1-ef42f6ef8094
2020-05-19 12:43:00.253 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$a0ff9e97] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-19 12:43:00.964 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-05-19 12:43:00.965 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-19 12:43:00.973 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-05-19 12:43:00.973 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-19 12:43:01.282 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-19 12:43:03.267 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-05-19 12:43:04.778 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-05-19 12:43:04.936 [main] INFO  com.usian.test.FastDFSTest - Started FastDFSTest in 9.61 seconds (JVM running for 10.511)
2020-05-19 12:43:06.175 [Thread-6] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2020-05-19 12:43:06.178 [Thread-6] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Unregistering application USAIN-ITEM-WEB with eureka with status DOWN
2020-05-19 12:43:06.180 [Thread-6] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-19 12:43:06.182 [Thread-6] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Could not unregister MBean [com.github.tobato.fastdfs.conn:name=fdfsConnectionPool,type=FdfsConnectionPool] as said MBean is not registered (perhaps already unregistered by an external process)
